id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes,home_post_win_prob
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,false,false,false,,3796,98,Western Kentucky,Conference USA,fbs,38,7,14,0,17,1684,1684,2046,Austin Peay,Atlantic Sun,fcs,27,10,7,3,7,0.04572357337737354,,,2.6135509766,,,0.9542764266226265
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,false,true,true,,3504,77,Northwestern,Big Ten,fbs,31,3,14,7,7,1361,1381,158,Nebraska,Big Ten,fbs,28,7,7,14,0,0.45245654026480564,1636,1616,8.3493556676,,,0.5475434597351944
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,false,true,false,,,125762,Florida Memorial University,,,39,13,13,6,7,,,2206,Edward Waters,SIAC,ii,34,0,0,21,13,,,,,,,
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,false,false,false,,6501,2439,UNLV,Mountain West,fbs,52,10,35,0,7,1300,1300,304,Idaho State,Big Sky,fcs,21,7,0,7,7,,,,,,,
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,false,true,false,,3689,55,Jacksonville State,Atlantic Sun,fcs,42,7,14,21,0,,,2617,Stephen F. Austin,Western Athletic,fcs,17,7,10,0,0,0.0011829169683287288,,,5.2414690984,,FCS Kickoff,0.9988170830316713
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,false,false,false,,3905,328,Utah State,Mountain West,fbs,31,0,24,0,7,1566,1555,41,Connecticut,FBS Independents,fbs,20,14,0,0,6,0.010834414292027916,1117,1128,4.5637067523,,,0.9891655857079721
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,false,false,false,,3832,356,Illinois,Big Ten,fbs,38,7,10,7,14,1496,1584,2751,Wyoming,Mountain West,fbs,6,3,0,3,0,0.0025277087946428134,1497,1409,2.5714169140,,,0.9974722912053572
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,false,false,false,,3697,52,Florida State,ACC,fbs,47,20,6,14,7,1501,1501,2184,Duquesne,NEC,fcs,7,0,0,7,0,0.001057792030546234,,,1.0589535880,,,0.9989422079694538
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,false,false,false,,4417,2382,Mercer,Southern,fcs,63,14,28,14,7,,,2413,Morehead State,Pioneer,fcs,13,0,10,3,0,0.0010318074099820995,,,1.1544784977,,,0.9989681925900179
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,false,false,true,,3715,2226,Florida Atlantic,Conference USA,fbs,43,10,16,7,10,1427,1488,2429,Charlotte,Conference USA,fbs,13,7,0,6,0,0.0011584457822981786,1272,1211,6.6262524505,,,0.9988415542177018
