awayscore,homescore,awayteam,hometeam,week,OT,spread,points
0,24,UMIA,FL,1,0,7,46
38,45,AZ,HI,1,0,-10,70
21,24,WAG,CT,1,0,23,70
10,38,ROBMO,BUFF,1,0,41.5,61.5
21,38,ALBANY,CMI,1,0,14,45
14,24,UCLA,CIN,1,0,2.5,55.5
3,46,MORGS,BOWL,1,0,24,50.5
0,62,FLAM,CFL,1,0,44,66
28,49,GARDW,CHARL,1,0,31.5,54.5
35,28,CAR,WKY,1,0,10.5,54.5
14,52,GT,CLEM,1,0,37,60.5
14,42,FIU,TULN,1,0,3,58.5
19,24,ALS,ALB,1,0,40,50.5
7,41,TXS,TAM,1,0,33.5,56.5
21,28,SDKS,MN,1,0,14.5,56
18,35,NCO,SJS,1,0,17.5,59.5
7,30,KENT,AZS,1,0,24.5,61.5
30,12,UT,BY,1,0,-5,49
7,14,RICE,ARMY,1,0,23.5,46.5
7,28,TULS,MIS,1,0,22,47.5
49,0,WI,SFL,1,0,-10,58
21,48,UMASS,R,1,0,17,54
35,38,UTS,WF,1,0,5,61
31,34,PURD,NV,1,0,-11,58.5
31,52,COS,CO,1,0,11.5,55
52,36,OKS,ORS,1,0,-13.5,73.5
21,45,FLAT,OHS,1,0,27,66
10,15,MS,MEMPH,1,0,3,63.5
24,38,TOL,KY,1,0,9.5,60.5
6,34,ECARO,NCS,1,0,17.5,52
38,28,MSS,LALA,1,0,-19,61.5
21,35,SAL,NE,1,0,35,65
34,24,IN,BALL,1,0,-18,61
0,79,HOW,MD,1,0,30,65.5
17,24,INS,KS,1,0,12,53.5
13,13,NIA,IAS,1,1,22.5,42
3,42,AKR,IL,1,0,18,60.5
36,31,BOIS,FLS,1,0,6.5,55
20,41,RI,OH,1,0,25,65.5
13,20,JMAD,WV,1,0,7,52.5
14,47,EW,WA,1,0,24,56.6
12,56,BUCKN,TEMP,1,0,41.5,53.5
7,42,ETNS,APPS,1,0,32.5,51.5
7,45,HOCR,NAVY,1,0,21.5,53.5
7,48,COLG,AIRF,1,0,23.5,43.5
38,30,GAS,TN,1,0,24.5,58
7,79,ID,PAS,1,0,42,58.5
3,42,DUKE,AL,1,0,33.5,57.5
20,24,SCARO,NC,1,0,-11,61
30,23,EMI,COAST,1,0,-5,55
13,20,PORS,AR,1,0,30.5,60.5
28,35,VAT,BOSCO,1,0,-4.5,56.5
10,45,MTS,TXT,1,0,28.5,60
7,17,NORW,ST,1,0,6.5,46.5
24,0,CUSE,LIB,1,0,-19.5,69
31,39,SAMHOU,NM,1,0,6,63.5
14,43,CAMP,TROY,1,0,36.6,49
7,35,INCW,UTSA,1,0,9.5,58.5
17,56,VMI,MARSH,1,0,44,66
13,27,UCD,CA,1,0,15.5,48
21,24,NORFS,OLD,1,0,25.5,55.5
37,30,SMU,ARS,1,0,1.5,58.5
14,49,NICHOLLS,KSS,1,0,22.5,47.5
17,56,SFA,BAYL,1,0,43.5,57.5
13,48,MONM,WMI,1,0,24.5,73.5
10,38,ALCOS,SMS,1,0,24.5,55
10,24,ILS,NIL,1,0,7,42.5
14,38,MIOH,IA,1,0,25,48
21,40,MIDTN,MI,1,0,36,56.5
31,37,MO,WY,1,0,-15,53.5
3,55,GASO,LAS,1,0,27,51
31,51,ACU,NTX,1,0,22.5,58.5
30,14,VA,PITT,1,0,-2.5,46.6
30,6,GA,VAND,1,0,-22,56.5
21,27,OR,AUB,1,0,4,55
34,36,HBU,UTEP,1,0,17.5,61.5
9,31,GRAM,LAM,1,0,28.5,58.5
7,39,ARPB,TCU,1,0,55,65
14,45,LAT,TX,1,0,19,55.5
0,6,WEBS,SDS,1,0,12,36.5
7,58,NMS,WAS,1,0,33,65.5
23,56,SOUT,UNLV,1,0,24.5,71
23,31,FREST,SC,1,0,14.5,50
31,49,HOUS,OK,1,0,21.5,80
35,17,NODA,LOUIS,1,0,-19,55
41,21,WF,RICE,2,0,-20,58.5
17,52,WM,VA,2,0,32,51.5
7,14,MARSH,BOIS,2,0,14,58
7,19,SACS,AZS,2,0,35,63.5
10,20,OH,PITT,2,0,4,54
14,14,ARMY,MI,2,1,21.5,48
10,72,CHARSO,SCARO,2,0,36,45
0,52,BOWL,KSS,2,0,25,57.5
24,55,SOUTHERN,MEMPH,2,0,41,68.5
17,31,OLD,VAT,2,0,30,57.5
24,42,VAND,PURD,2,0,7,56
0,30,R,IA,2,0,18,48
23,23,KENNES,KENT,2,1,5,54
0,42,CIN,OHS,2,0,14.5,52
31,20,ALB,AKR,2,0,-8,46.5
20,63,CUSE,MD,2,0,1,59
7,38,WV,MO,2,0,13.5,62.5
0,41,WCU,NCS,2,0,44.5,65.5
17,35,NIL,UT,2,0,23,45
10,14,SFL,GAT,2,0,5,59
29,57,FORD,BALL,2,0,29.5,51
17,48,TNT,MIOH,2,0,37,60
14,20,GRAM,LAT,2,0,30,52
10,24,TAM,CLEM,2,0,16.5,62.5
31,23,IL,CT,2,0,-21,59
45,20,SIL,UMASS,2,0,6,78.5
13,45,RICHM,BOSCO,2,0,33.5,66
0,52,EIL,IN,2,0,35.5,61.5
31,31,NE,CO,2,1,-4,64
15,38,SMS,MSS,2,0,16.5,51
0,61,CMI,WI,2,0,34,54.5
41,56,CHARL,APPS,2,0,23,54
14,63,UTSA,BAYL,2,0,25,58.5
17,63,MURRS,GA,2,0,49.5,61.5
13,38,WIL,COS,2,0,12,57.5
10,62,NMS,AL,2,0,54.5,65
23,14,SDS,UCLA,2,0,7.5,44.5
38,38,LAM,FLS,2,1,22.5,65.5
17,59,NCO,WAS,2,0,43,63
9,48,GARDW,ECARO,2,0,31,58.5
13,45,NCAT,DUKE,2,0,27,52
18,26,ME,GASO,2,0,9,46.5
16,16,BY,TN,2,1,3,51.5
14,56,NCNEES,OKS,2,0,41.5,64.5
42,48,FURM,GAS,2,0,6,61.5
27,49,NTX,SMU,2,0,3.5,72.5
12,7,COAST,KS,2,0,7,54.5
20,14,WKY,FIU,2,0,9,57
14,70,SD,OK,2,0,46.5,76.5
23,14,WY,TXS,2,0,-7.5,48
26,45,TNS,MIDTN,2,0,26,56.5
