"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"1","OHS",42.2,51.4,23.6,18.7,4.8,4.3,11
"2","PAS",31.2,34.2,12.7,18.5,3.3,-0.2,11
"3","CLEM",30.9,38.9,14.1,16.8,5,2.9,11
"4","AL",28.8,36.4,19.3,9.5,3.1,4.5,11
"5","LAS",27.4,38.3,21.8,5.6,1.2,9.8,11
"6","AUB",25.9,30.8,8.8,17.1,2.9,2,11
"7","OR",25.8,32.1,14.1,11.7,2.5,3.8,11
"8","GA",25.2,27.9,10.6,14.6,-2.3,5,11
"9","UT",22.8,29.5,9.6,13.2,-1,7.7,11
"10","OK",22.5,34.2,16.3,6.2,10.4,1.3,11
"11","WI",22.4,36.6,7.7,14.7,9.3,5,11
"12","MI",22.3,26.7,9,13.3,2.1,2.3,11
"13","NAVY",21.7,24.5,12,9.7,0.8,2,11
"14","CFL",21.6,23.5,17.5,4.2,1.7,0.2,11
"15","FL",20.7,33.8,11.3,9.5,1.4,11.7,11
"16","IAS",20.6,23.9,10.4,10.2,3.8,-0.5,11
"17","LALA",20.6,18.5,12.3,8.3,-5.6,3.5,11
"18","IA",20.5,22.4,1.5,19,3.3,-1.4,11
"19","BAYL",20,19.7,6.2,13.7,1.9,-2.1,11
"20","NODA",18,23.1,7.5,10.5,4.8,0.3,11
"21","CIN",17.9,26.3,10.4,7.5,-0.8,9.3,11
"22","OKS",16.9,18.9,13.7,3.2,0.4,1.7,11
"23","APPS",16.7,19.2,7,9.7,7.3,-4.7,11
"24","FLAT",16.7,7.8,11.3,5.5,-6.6,-2.3,11
"25","SMU",16.5,17,17.9,-1.4,2.9,-2.4,11
"26","WA",15.9,22.3,6.5,9.4,4.9,1.4,11
"27","MEMPH",15.5,26.4,13.1,2.4,2.5,8.4,11
"28","KSS",14.6,19.4,3.8,10.8,6.2,-1.4,11
"29","TX",14.4,19.1,13,1.4,0.5,4.3,11
"30","AIRF",13.7,20.9,6.2,7.5,2.7,4.6,11
"31","IN",13.7,22.2,8.9,4.8,-0.6,9.1,11
"32","MS",13,10.2,5.3,7.7,-1.9,-0.9,11
"33","UCLA",12.9,4.4,8.3,4.6,-3.3,-5.2,11
"34","MN",12.8,24.5,6.9,6,7.4,4.3,11
"35","TAM",12.8,21.8,3.3,9.5,10.1,-1.1,11
"36","MIS",12.5,18.5,1.7,10.8,2.8,3.2,11
"37","WAS",12.4,23.6,12.1,0.3,10.6,0.6,11
"38","TCU",12.2,23.2,4.2,8,3.8,7.2,11
